Marka,Seri,Yil,Km,Vites,Yakit,Kasa,Garanti,Agir_Hasar,Fiyat,front-hood,front-left-mudguard,front-right-mudguard,front-left-door,front-right-door,rear-left-door,rear-right-door,rear-left-mudguard,rear-right-mudguard,roof
3,19,2016,54523,1,2,0,0,1,543692,0,0,0,0,0,0,0,0,0,0
3,19,2017,73413,0,2,0,0,1,576467,0,0,0,0,0,0,0,0,0,0
3,19,2021,67685,0,1,0,0,1,910787,0,0,0,0,0,0,0,0,0,0
3,19,2018,92023,1,1,0,0,1,609942,0,0,0,0,0,0,0,0,0,0
3,19,2022,119101,0,0,0,0,1,862247,0,0,0,0,0,0,0,0,0,0
3,19,2020,186323,0,2,0,0,1,534192,0,0,0,0,0,0,0,0,0,0
3,19,2018,21991,1,0,0,0,1,785022,0,0,0,0,0,0,0,0,0,0
3,19,2017,87554,0,2,0,0,1,529115,2,0,0,0,0,0,0,0,0,0
3,19,2024,190817,0,2,0,0,1,812957,0,0,3,0,0,0,0,0,0,0
3,19,2017,94857,0,2,0,0,1,522857,0,0,0,0,0,0,0,0,0,0
3,19,2022,68358,0,2,0,0,1,977105,2,0,0,0,0,0,0,0,0,0
3,19,2023,186277,0,2,0,0,1,774307,0,0,0,0,0,0,0,0,0,0
3,19,2016,136484,0,0,0,0,1,326790,0,0,0,0,0,0,2,0,0,0
3,19,2025,161402,0,0,0,0,1,996495,0,0,0,0,0,0,0,0,0,0
3,19,2020,67766,0,1,0,0,1,830585,0,0,0,0,0,0,0,0,0,0
3,19,2020,111819,1,2,0,0,1,720452,0,0,0,0,0,0,0,0,0,0
3,19,2022,169203,1,2,0,0,0,543744,0,0,0,0,0,0,2,0,0,0
3,19,2023,194621,0,2,0,0,1,741447,0,2,0,0,0,0,0,0,0,0
3,19,2016,235609,0,1,0,0,1,200000,2,0,0,0,0,0,0,0,0,2
3,19,2015,24777,1,1,0,0,1,538057,0,0,0,0,0,0,0,0,0,0
3,19,2024,187907,1,1,0,0,1,838232,2,0,0,0,0,0,0,0,0,0
3,19,2018,122027,0,1,0,0,1,531932,0,0,0,0,0,0,0,1,0,0
3,19,2016,31432,1,2,0,0,1,601420,0,0,0,0,0,0,0,0,0,0
3,19,2023,240009,1,0,0,0,1,627977,0,0,0,0,0,2,0,0,0,0
3,19,2020,112786,1,0,0,0,1,682035,0,3,1,1,0,0,0,0,0,0
3,19,2017,189121,0,2,0,0,1,287197,0,0,0,0,0,0,0,0,0,0
3,19,2017,63255,0,0,0,0,1,601862,0,0,0,0,0,0,0,0,0,0
3,19,2025,95873,0,1,0,0,1,1148317,0,0,0,0,0,2,0,0,0,0
3,19,2019,168798,1,2,0,0,1,498005,0,0,0,0,0,0,0,0,0,0
3,19,2024,84218,1,1,0,0,1,1073455,2,0,2,0,2,0,0,0,0,0
3,19,2022,76958,1,2,0,0,1,955605,0,0,0,0,0,0,2,0,0,0
3,19,2019,204237,0,2,0,0,1,379407,0,3,0,0,0,0,0,0,0,0
3,19,2023,161286,1,0,0,0,1,833785,0,0,0,0,0,0,0,0,1,0
3,19,2017,225717,0,1,0,0,1,200000,0,0,0,0,0,0,0,0,0,0
3,19,2025,217371,0,0,0,0,1,856572,0,0,0,0,0,0,0,0,0,0
3,19,2018,2561,1,2,0,0,1,833597,0,0,0,0,0,0,0,0,0,0
3,19,2024,82481,0,1,0,0,1,1113797,0,0,0,0,0,0,0,0,0,0
3,19,2018,121410,0,1,0,0,1,524475,0,0,0,0,0,0,0,0,0,2
3,19,2020,110386,0,1,0,0,1,670035,0,0,0,0,2,0,3,2,0,0
3,19,2021,87221,0,2,0,0,1,849947,0,0,0,0,0,0,0,0,2,0
3,19,2018,33410,1,2,0,0,1,753475,0,0,0,0,0,0,0,1,0,0
3,19,2020,2449,1,2,0,0,1,993877,0,0,0,0,0,0,0,0,0,0
3,19,2018,148180,0,2,0,0,1,469550,0,0,0,0,0,0,0,0,0,0
3,19,2018,187861,0,2,0,0,1,358347,0,0,0,0,0,0,2,0,0,0
3,19,2023,120492,1,1,0,0,1,938770,0,0,0,0,0,0,0,0,0,0
3,19,2019,245270,1,2,0,0,1,279825,0,0,2,2,0,0,0,0,1,0
3,19,2019,75772,0,1,0,0,1,730570,0,0,0,0,0,0,0,0,0,0
3,19,2021,212042,1,2,0,0,1,519895,0,1,2,0,1,0,0,0,2,0
3,19,2019,121694,1,1,0,0,1,615765,0,0,0,0,0,0,0,0,0,0
3,19,2016,112003,0,1,0,0,1,360992,0,1,0,2,0,0,0,2,0,2
3,19,2020,156414,0,0,0,0,1,578965,0,0,0,0,3,0,0,0,0,0
3,19,2021,84730,1,2,0,0,1,820175,0,2,2,2,2,0,0,0,0,0
3,19,2018,36164,0,2,0,0,1,749590,0,0,0,0,0,0,0,0,0,0
3,19,2015,215271,1,2,0,0,1,200000,0,0,0,0,0,0,0,0,0,0
3,19,2025,168802,1,0,0,0,1,977995,0,0,0,0,0,0,0,0,0,0
3,19,2022,174666,1,1,0,0,1,723335,0,0,0,0,0,0,0,0,0,0
3,19,2017,179019,1,1,0,0,1,312452,0,0,0,0,0,0,0,0,0,0
3,19,2020,158246,1,1,0,0,1,604385,0,0,0,0,0,0,0,0,0,0
